Tipo documento;Nacionalidad;GÈnero;Fecha nacimiento;PaÌs residencia;Municipio residencia;Estrato vivienda;Personas hogar;Tiene internet;Tiene computador;Colegio gÈnero;Calendario;Colegio ·rea;Jornada;Lectura crÌtica;DesempeÒo lectura critica;Matem·ticas;DesempeÒo matem·ticas;Ciencias naturales;DesempeÒo naturales;Ciencias sociales;DesempeÒo sociales;Ingles;DesempeÒo ingles;Puntaje global;Percentil global
CC;COLOMBIA;F;21/08/1998;COLOMBIA;PIEDECUESTA;Estrato 1;7 a 8;No;Si;MIXTO;A;URBANO;NOCHE;35;1;40;2;36;1;35;1;29;A-;180;5
TI;COLOMBIA;F;28/08/2001;COLOMBIA;BOGOT¡Å D.C.;Estrato 3;3 a 4;Si;Si;MIXTO;A;URBANO;MA—ANA;71;4;69;3;70;3;62;3;72;B1;342;77
TI;COLOMBIA;F;2/05/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 4;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;66;4;75;4;68;3;61;3;76;B1;341;76
CC;COLOMBIA;F;10/03/1999;COLOMBIA;BARRANQUILLA;Estrato 6;3 a 4;Si;Si;MIXTO;A;URBANO;COMPLETA;50;2;40;2;43;2;51;2;60;A2;235;25
CC;COLOMBIA;M;13/05/1999;COLOMBIA;BOGOT¡Å D.C.;Sin Estrato;1 a 2;Si;Si;MASCULINO;B;URBANO;COMPLETA;74;4;69;3;66;3;67;3;83;B+;350;81
TI;COLOMBIA;F;18/01/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 3;5 a 6;Si;Si;MIXTO;A;URBANO;NOCHE;61;3;51;3;43;2;49;2;63;A2;260;35
TI;COLOMBIA;F;30/06/2000;COLOMBIA;IPIALES;Estrato 3;5 a 6;No;No;MIXTO;A;URBANO;TARDE;46;2;45;2;43;2;51;2;52;A1;233;24
TI;COLOMBIA;F;28/08/2001;COLOMBIA;CALI;Estrato 4;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;68;4;63;3;67;3;66;3;74;B1;333;72
TI;COLOMBIA;M;28/01/2002;COLOMBIA;POPAY¡N;Estrato 1;7 a 8;Si;Si;MIXTO;B;URBANO;MA—ANA;57;3;65;3;52;2;48;2;52;A1;276;43
TI;COLOMBIA;M;12/04/2000;COLOMBIA;YUMBO;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;68;4;52;3;61;3;63;3;60;A2;305;56
